Unnamed: 0,EmpID,Sum_Quantity,Mean_Quantity,Min_Quantity,Max_Quantity,Employee Name,JobTitle,Region,StartDate,EndDate,FirstName,LastName,EmploymentDurationDays,SalesPerDay
0,900010405.0,1473.0,9.14906832298137,1.0,102.0,Ara Dumbreck,Sales Representative,N Central East,2019-08-27,2020-01-01,Ara,Dumbreck,127,11.5984251968504
1,900010430.0,1508.0,11.6899224806202,1.0,108.0,Jason Bellamy,Senior Sales Representative,Central East,2003-02-25,2020-01-01,Jason,Eisold,6154,0.245043873903152
2,900010813.0,722.0,13.622641509434,1.0,99.0,Willow Townsend,Senior Sales Representative,Northwest,2008-11-10,2020-01-01,Willow,Tunnick,4069,0.177439174244286
3,900010836.0,1391.0,10.3037037037037,1.0,108.0,Esmeralda Crenshaw,Sales Representative,S Central East,2002-06-22,2020-01-01,Ezmeralda,Crenshaw,6402,0.21727585129647
4,900010875.0,1213.0,13.1847826086957,1.0,101.0,Erin Otis,Sales Associate II,Southwest,2011-01-08,2020-01-01,Darnall,Oris,3280,0.369817073170732
5,900011056.0,887.0,14.5409836065574,1.0,103.0,Rodger Houlston,Sales Representative,Southwest,2005-12-29,2020-01-01,Rodrique,Houlston,5116,0.173377638780297
6,900011189.0,1339.0,20.921875,1.0,101.0,Wyatt Larose,Senior Sales Representative,Northwest,2013-06-07,2020-01-01,Wyatt,Larose,2399,0.558149228845352
7,900011678.0,1108.0,11.7872340425532,1.0,105.0,Tracy Bellini,Sales Representative,Southeast,2006-05-06,2020-01-01,Dacie,Bellini,4988,0.222133119486768
8,900012180.0,913.0,9.71276595744681,1.0,95.0,Bob Laird-Craig,Sales Associate I,S Central East,2015-09-08,2020-01-01,Bob,Laird-Craig,1576,0.579314720812183
9,900012258.0,628.0,10.1290322580645,1.0,64.0,Neil Neeve,Sales Associate I,S Central West,2018-06-24,2020-01-01,Nell,Neeve,556,1.1294964028777
10,900012260.0,402.0,7.58490566037736,1.0,96.0,Christina Labusch,Sales Associate,N Central East,2010-01-23,2020-01-01,Chrysa,Labusch,3630,0.110743801652893
11,900012297.0,500.0,8.92857142857143,1.0,94.0,Amber Attarge,Sales Associate,S Central West,2018-07-08,2020-01-01,Amber,Attarge,542,0.922509225092251
12,900012326.0,1298.0,9.54411764705882,1.0,109.0,Edward Durden,Sales Associate I,Southeast,2011-05-07,2020-01-01,Edvard,Durtnall,3161,0.410629547611515
